id,date,amount,category,description
119,2024-03-05,70.35,JEDZENIE,Restauracja Stara Kamienica
120,2024-03-06,25.22,JEDZENIE,Piekarnia
121,2024-03-07,53.94,JEDZENIE,Piekarnia
122,2024-03-07,112.35,ROZRYWKA,Netflix
123,2024-03-08,37.57,JEDZENIE,KFC
124,2024-03-09,48.7,JEDZENIE,Carrefour
125,2024-03-10,38.59,JEDZENIE,Carrefour
126,2024-03-10,49.13,TRANSPORT,MPK bilet miesięczny
127,2024-03-11,69.71,JEDZENIE,Carrefour
128,2024-03-11,272.31,ZAKUPY,CCC buty
129,2024-03-12,41.39,JEDZENIE,Netto
130,2024-03-12,106.03,ROZRYWKA,Netflix
131,2024-03-12,212.97,ZAKUPY,H&M
132,2024-03-13,33.63,JEDZENIE,KFC
133,2024-03-14,81.67,JEDZENIE,Piekarnia
134,2024-03-14,98.57,ROZRYWKA,Cinema City
135,2024-03-14,151.16,ZAKUPY,Empik
136,2024-03-15,86.95,JEDZENIE,Aldi
137,2024-03-16,25.77,JEDZENIE,Biedronka
138,2024-03-16,194.86,ZAKUPY,Castorama
139,2024-03-17,57.02,JEDZENIE,Kaufland
140,2024-03-17,56.01,TRANSPORT,Parking centrum
141,2024-03-17,106.47,ZDROWIE,Multisport
142,2024-03-17,213.36,ZAKUPY,CCC buty
143,2024-03-19,22.22,JEDZENIE,Burger King
144,2024-03-19,1.76,TRANSPORT,PKP Intercity
145,2024-03-19,56.45,ROZRYWKA,Koncert
146,2024-03-20,93.87,JEDZENIE,McDonald's
147,2024-03-20,85.77,ZAKUPY,MediaMarkt
148,2024-03-21,64.13,JEDZENIE,Żabka
149,2024-03-22,54.12,JEDZENIE,Aldi
150,2024-03-22,38.37,TRANSPORT,Flixbus
643,2024-03-22,890.5,ZDROWIE,Ortodonta – aparat na zęby
151,2024-03-23,44.08,JEDZENIE,Restauracja Stara Kamienica
152,2024-03-23,33.66,TRANSPORT,BP paliwo
153,2024-03-24,98.13,JEDZENIE,Sushi Bar
154,2024-03-24,22.11,TRANSPORT,MPK bilet miesięczny
155,2024-03-25,91.5,JEDZENIE,Sushi Bar
156,2024-03-25,75.63,ROZRYWKA,Kręgielnia
157,2024-03-26,1.0,TRANSPORT,Parking centrum
158,2024-03-26,71.17,ZDROWIE,Dentysta
159,2024-03-27,80.5,JEDZENIE,Żabka
160,2024-03-28,57.2,JEDZENIE,Netto
161,2024-03-28,28.09,TRANSPORT,Parking centrum
162,2024-03-30,30.1,JEDZENIE,Aldi
163,2024-03-31,44.27,ROZRYWKA,Kręgielnia
164,2024-04-01,79.17,ROZRYWKA,Pub Złoty Kielich
165,2024-04-01,145.84,ZAKUPY,Empik
166,2024-04-02,15.95,JEDZENIE,Warzywnik
167,2024-04-02,220.17,ZAKUPY,Zara
168,2024-04-04,50.15,JEDZENIE,Kaufland
169,2024-04-04,37.78,TRANSPORT,BlaBlacar
170,2024-04-05,21.15,TRANSPORT,BP paliwo
171,2024-04-06,58.63,JEDZENIE,Carrefour
172,2024-04-07,225.83,ZDROWIE,Apteka Dbam o Zdrowie
173,2024-04-08,73.77,JEDZENIE,Piekarnia
174,2024-04-08,127.01,ROZRYWKA,Cinema City
175,2024-04-09,66.86,JEDZENIE,KFC
176,2024-04-10,47.76,JEDZENIE,Sushi Bar
177,2024-04-10,19.52,TRANSPORT,BlaBlacar
178,2024-04-11,63.24,JEDZENIE,McDonald's
179,2024-04-11,60.28,ROZRYWKA,Steam
180,2024-04-12,70.99,JEDZENIE,Carrefour
181,2024-04-12,55.67,TRANSPORT,PKP Intercity
182,2024-04-13,11.57,TRANSPORT,BP paliwo
183,2024-04-13,99.16,ROZRYWKA,HBO Max
184,2024-04-13,206.52,ZAKUPY,Zara
185,2024-04-15,43.4,JEDZENIE,Kaufland
186,2024-04-15,63.67,TRANSPORT,Flixbus
187,2024-04-16,106.51,JEDZENIE,Aldi
188,2024-04-16,12.77,TRANSPORT,BP paliwo
189,2024-04-17,38.28,JEDZENIE,McDonald's
190,2024-04-17,42.77,ZAKUPY,Amazon
191,2024-04-18,26.81,JEDZENIE,Carrefour
192,2024-04-19,85.55,JEDZENIE,Sushi Bar
193,2024-04-19,14.98,TRANSPORT,Autopay autostrada
194,2024-04-20,31.97,JEDZENIE,Biedronka
195,2024-04-20,26.87,TRANSPORT,Flixbus
196,2024-04-20,88.84,ROZRYWKA,Bowling
197,2024-04-21,20.65,JEDZENIE,McDonald's
198,2024-04-22,34.0,JEDZENIE,Żabka
199,2024-04-23,78.34,JEDZENIE,McDonald's
200,2024-04-23,32.65,TRANSPORT,MPK bilet miesięczny
201,2024-04-23,13.72,ZAKUPY,H&M
202,2024-04-24,1.0,TRANSPORT,Bolt
203,2024-04-25,62.03,JEDZENIE,Aldi
204,2024-04-25,22.9,TRANSPORT,BlaBlacar
205,2024-04-25,102.08,ROZRYWKA,Cinema City
206,2024-04-25,115.25,ZAKUPY,H&M
207,2024-04-26,27.29,JEDZENIE,Piekarnia
208,2024-04-26,59.67,TRANSPORT,Bolt
209,2024-04-26,117.24,ROZRYWKA,Spotify
210,2024-04-27,73.68,JEDZENIE,Lidl
211,2024-04-27,39.66,ROZRYWKA,Teatr Miejski
212,2024-04-28,28.33,JEDZENIE,KFC
213,2024-04-29,40.57,TRANSPORT,BlaBlacar
214,2024-04-30,65.42,JEDZENIE,KFC
215,2024-05-02,34.76,TRANSPORT,BP paliwo
216,2024-05-03,33.53,JEDZENIE,Burger King
217,2024-05-03,9.69,TRANSPORT,BP paliwo
218,2024-05-04,72.14,JEDZENIE,Lidl
219,2024-05-04,66.78,TRANSPORT,Shell paliwo
220,2024-05-05,12.56,JEDZENIE,Piekarnia
221,2024-05-05,16.8,ROZRYWKA,PlayStation Store
222,2024-05-06,60.41,JEDZENIE,Aldi
223,2024-05-07,26.64,JEDZENIE,Netto
224,2024-05-07,20.07,TRANSPORT,Bolt
225,2024-05-07,100.89,ROZRYWKA,PlayStation Store
226,2024-05-07,96.04,RACHUNKI,Woda MPWiK
227,2024-05-08,50.82,JEDZENIE,Netto
228,2024-05-09,50.37,JEDZENIE,Piekarnia
229,2024-05-09,225.44,ZAKUPY,Empik
230,2024-05-10,68.27,JEDZENIE,KFC
231,2024-05-10,41.38,TRANSPORT,BP paliwo
644,2024-05-10,1240.0,ZAKUPY,Smartwatch Samsung Galaxy Watch
232,2024-05-11,84.26,JEDZENIE,Biedronka
233,2024-05-11,42.76,TRANSPORT,Uber
234,2024-05-12,54.18,JEDZENIE,Biedronka
235,2024-05-13,43.49,JEDZENIE,McDonald's
236,2024-05-13,61.3,ROZRYWKA,Netflix
237,2024-05-14,25.51,JEDZENIE,Carrefour
238,2024-05-14,51.29,TRANSPORT,PKP Intercity
239,2024-05-15,37.69,JEDZENIE,Lidl
240,2024-05-15,51.47,TRANSPORT,BlaBlacar
241,2024-05-16,56.81,JEDZENIE,Warzywnik
242,2024-05-16,29.69,TRANSPORT,Flixbus
243,2024-05-16,99.96,ROZRYWKA,Teatr Miejski
244,2024-05-16,76.61,ZAKUPY,CCC buty
245,2024-05-17,79.18,JEDZENIE,Lidl
246,2024-05-17,61.64,TRANSPORT,Autopay autostrada
247,2024-05-19,79.56,JEDZENIE,Carrefour
248,2024-05-20,66.24,JEDZENIE,Restauracja Stara Kamienica
249,2024-05-20,145.59,ROZRYWKA,Koncert
250,2024-05-21,34.62,ROZRYWKA,Koncert
251,2024-05-22,65.81,JEDZENIE,Burger King
252,2024-05-22,39.94,TRANSPORT,MPK bilet miesięczny
253,2024-05-23,40.45,JEDZENIE,Restauracja Stara Kamienica
254,2024-05-23,143.3,ZAKUPY,Castorama
255,2024-05-24,65.2,JEDZENIE,Warzywnik
256,2024-05-24,39.98,TRANSPORT,Orlen paliwo
257,2024-05-25,43.02,JEDZENIE,Restauracja Stara Kamienica
258,2024-05-25,31.81,TRANSPORT,Autopay autostrada
259,2024-05-26,23.36,JEDZENIE,Burger King
260,2024-05-26,59.05,TRANSPORT,Autopay autostrada
261,2024-05-27,32.79,JEDZENIE,Restauracja Stara Kamienica
262,2024-05-27,333.3,ZAKUPY,Zara
263,2024-05-28,15.32,JEDZENIE,Sushi Bar
264,2024-05-28,29.46,TRANSPORT,BP paliwo
265,2024-05-28,201.74,ZAKUPY,IKEA
266,2024-05-29,61.84,TRANSPORT,Parking centrum
267,2024-05-29,51.88,ROZRYWKA,Bowling
268,2024-05-30,85.02,JEDZENIE,Żabka
269,2024-05-30,44.04,TRANSPORT,Uber
270,2024-05-31,28.76,JEDZENIE,McDonald's
271,2024-06-01,20.82,TRANSPORT,MPK bilet miesięczny
272,2024-06-01,159.37,ZAKUPY,Reserved
273,2024-06-02,66.69,JEDZENIE,McDonald's
274,2024-06-02,32.33,TRANSPORT,Uber
275,2024-06-03,37.65,JEDZENIE,Lidl
276,2024-06-03,50.69,TRANSPORT,PKP Intercity
277,2024-06-04,109.22,JEDZENIE,KFC
278,2024-06-04,117.29,ROZRYWKA,HBO Max
279,2024-06-05,58.05,JEDZENIE,Netto
280,2024-06-05,194.47,ZAKUPY,CCC buty
281,2024-06-06,62.53,JEDZENIE,Lidl
282,2024-06-07,18.89,TRANSPORT,PKP Intercity
283,2024-06-08,64.24,JEDZENIE,Sushi Bar
284,2024-06-08,115.84,ZDROWIE,Multisport
285,2024-06-08,91.39,ZAKUPY,Leroy Merlin
286,2024-06-09,70.77,JEDZENIE,Aldi
287,2024-06-09,39.5,TRANSPORT,MPK bilet miesięczny
288,2024-06-09,266.87,ZAKUPY,Amazon
289,2024-06-10,25.62,JEDZENIE,Warzywnik
290,2024-06-10,32.22,ZAKUPY,Allegro
291,2024-06-11,68.25,JEDZENIE,Biedronka
292,2024-06-11,68.42,TRANSPORT,Orlen paliwo
293,2024-06-12,18.5,TRANSPORT,Autopay autostrada
294,2024-06-16,89.09,JEDZENIE,McDonald's
295,2024-06-16,19.64,TRANSPORT,BP paliwo
296,2024-06-17,64.4,JEDZENIE,Warzywnik
297,2024-06-18,20.99,JEDZENIE,Biedronka
298,2024-06-18,18.4,TRANSPORT,Uber
299,2024-06-19,28.72,JEDZENIE,Restauracja Stara Kamienica
300,2024-06-19,8.0,ROZRYWKA,Cinema City
301,2024-06-20,85.85,JEDZENIE,KFC
302,2024-06-21,81.67,JEDZENIE,Piekarnia
303,2024-06-21,56.14,TRANSPORT,MPK bilet miesięczny
304,2024-06-21,72.7,ROZRYWKA,Spotify
305,2024-06-22,34.96,JEDZENIE,Restauracja Stara Kamienica
306,2024-06-23,11.03,JEDZENIE,Netto
307,2024-06-23,163.26,ZAKUPY,Allegro
308,2024-06-24,68.03,JEDZENIE,Sushi Bar
309,2024-06-25,23.14,JEDZENIE,KFC
310,2024-06-26,78.72,JEDZENIE,KFC
311,2024-06-27,56.47,JEDZENIE,Sushi Bar
312,2024-06-27,75.11,ROZRYWKA,Spotify
313,2024-06-27,202.45,ZAKUPY,Amazon
314,2024-06-28,84.6,ROZRYWKA,Teatr Miejski
645,2024-06-28,980.0,TRANSPORT,Wynajem auta wakacje – Hertz
315,2024-06-29,84.79,JEDZENIE,Piekarnia
316,2024-06-29,127.71,ROZRYWKA,Teatr Miejski
317,2024-06-30,42.89,TRANSPORT,Autopay autostrada
318,2024-07-01,47.23,JEDZENIE,Biedronka
319,2024-07-02,45.18,ZDROWIE,Dentysta
320,2024-07-03,65.66,JEDZENIE,Burger King
321,2024-07-03,79.41,ZAKUPY,RTV Euro AGD
322,2024-07-04,78.33,JEDZENIE,Lidl
323,2024-07-04,38.61,TRANSPORT,Orlen paliwo
324,2024-07-05,186.1,ZAKUPY,Amazon
325,2024-07-06,76.26,JEDZENIE,Lidl
326,2024-07-07,34.8,JEDZENIE,KFC
327,2024-07-07,183.48,ZAKUPY,MediaMarkt
328,2024-07-08,176.82,ZAKUPY,Amazon
329,2024-07-09,34.33,JEDZENIE,Sushi Bar
330,2024-07-09,51.4,TRANSPORT,BlaBlacar
331,2024-07-10,66.49,TRANSPORT,Uber
332,2024-07-10,76.06,ZDROWIE,Apteka Dbam o Zdrowie
333,2024-07-10,104.82,ZAKUPY,Allegro
334,2024-07-11,79.56,JEDZENIE,Sushi Bar
335,2024-07-11,52.82,TRANSPORT,Shell paliwo
336,2024-07-13,45.85,JEDZENIE,McDonald's
337,2024-07-13,1.0,ZAKUPY,IKEA
338,2024-07-14,65.38,JEDZENIE,Netto
339,2024-07-14,16.73,TRANSPORT,BlaBlacar
340,2024-07-15,58.73,JEDZENIE,Netto
341,2024-07-15,54.01,TRANSPORT,Bolt
646,2024-07-15,560.0,JEDZENIE,Catering firmowy – urodziny
342,2024-07-16,57.57,JEDZENIE,Burger King
343,2024-07-16,111.49,ROZRYWKA,PlayStation Store
344,2024-07-18,68.0,JEDZENIE,Aldi
345,2024-07-19,75.71,JEDZENIE,Carrefour
346,2024-07-21,51.44,JEDZENIE,Restauracja Stara Kamienica
347,2024-07-22,37.0,JEDZENIE,KFC
348,2024-07-22,43.41,TRANSPORT,Flixbus
349,2024-07-22,64.4,ROZRYWKA,Spotify
350,2024-07-23,47.44,JEDZENIE,Sushi Bar
351,2024-07-23,39.39,TRANSPORT,BP paliwo
352,2024-07-23,186.55,ZAKUPY,Amazon
353,2024-07-24,17.23,TRANSPORT,Parking centrum
354,2024-07-25,12.75,JEDZENIE,Aldi
355,2024-07-25,18.59,TRANSPORT,PKP Intercity
356,2024-07-25,105.53,ZAKUPY,H&M
357,2024-07-26,1.0,TRANSPORT,Orlen paliwo
358,2024-07-26,186.09,RACHUNKI,Gaz PGNIG
359,2024-07-27,35.77,JEDZENIE,Kaufland
360,2024-07-27,74.35,ZAKUPY,Allegro
361,2024-07-28,54.17,JEDZENIE,Restauracja Stara Kamienica
362,2024-07-29,136.79,ZAKUPY,Reserved
363,2024-07-30,57.69,JEDZENIE,McDonald's
364,2024-07-30,37.67,TRANSPORT,Orlen paliwo
365,2024-07-30,80.08,ZAKUPY,H&M
366,2024-07-31,23.41,JEDZENIE,KFC
367,2024-07-31,20.88,TRANSPORT,Orlen paliwo
368,2024-08-01,71.54,JEDZENIE,Kaufland
369,2024-08-03,62.1,JEDZENIE,Sushi Bar
370,2024-08-03,40.5,ROZRYWKA,Koncert
371,2024-08-04,40.41,JEDZENIE,Burger King
372,2024-08-04,82.52,ROZRYWKA,Helios
373,2024-08-05,67.5,JEDZENIE,McDonald's
374,2024-08-05,95.29,ROZRYWKA,Bowling
375,2024-08-05,149.83,ZAKUPY,CCC buty
376,2024-08-06,56.94,JEDZENIE,Biedronka
377,2024-08-06,31.14,TRANSPORT,PKP Intercity
378,2024-08-06,54.95,ZAKUPY,Empik
379,2024-08-07,78.61,JEDZENIE,Netto
380,2024-08-08,57.42,TRANSPORT,Autopay autostrada
381,2024-08-09,79.96,JEDZENIE,Kaufland
382,2024-08-09,86.2,ROZRYWKA,Netflix
383,2024-08-10,28.59,TRANSPORT,Parking centrum
384,2024-08-11,67.42,JEDZENIE,Aldi
385,2024-08-12,32.41,JEDZENIE,Warzywnik
386,2024-08-12,63.79,ROZRYWKA,HBO Max
387,2024-08-13,117.19,ROZRYWKA,HBO Max
388,2024-08-14,37.49,TRANSPORT,Bolt
389,2024-08-15,20.82,JEDZENIE,Kaufland
390,2024-08-16,32.8,JEDZENIE,Aldi
391,2024-08-16,92.27,ZAKUPY,CCC buty
392,2024-08-17,50.62,JEDZENIE,Netto
393,2024-08-17,32.0,TRANSPORT,Shell paliwo
394,2024-08-18,56.98,JEDZENIE,Warzywnik
395,2024-08-18,21.55,TRANSPORT,Flixbus
396,2024-08-19,62.47,JEDZENIE,Burger King
397,2024-08-19,46.1,TRANSPORT,Autopay autostrada
398,2024-08-20,15.47,TRANSPORT,Uber
399,2024-08-21,41.6,JEDZENIE,Żabka
400,2024-08-22,44.69,JEDZENIE,Sushi Bar
401,2024-08-23,61.29,JEDZENIE,Biedronka
402,2024-08-23,121.16,ROZRYWKA,Cinema City
403,2024-08-23,120.08,RACHUNKI,Ubezpieczenie PZU
404,2024-08-23,115.17,ZAKUPY,CCC buty
405,2024-08-24,69.71,JEDZENIE,Warzywnik
406,2024-08-26,29.54,JEDZENIE,Sushi Bar
407,2024-08-26,160.45,ZAKUPY,H&M
408,2024-08-27,47.82,JEDZENIE,Burger King
409,2024-08-27,104.37,ROZRYWKA,Bowling
410,2024-08-28,69.28,JEDZENIE,KFC
411,2024-08-28,47.66,ROZRYWKA,Netflix
412,2024-08-29,49.83,JEDZENIE,Burger King
413,2024-08-30,56.97,JEDZENIE,Carrefour
414,2024-08-30,143.54,ROZRYWKA,Pub Złoty Kielich
415,2024-08-31,48.13,JEDZENIE,Burger King
416,2024-08-31,86.11,ZAKUPY,Empik
417,2024-09-01,19.83,JEDZENIE,Netto
418,2024-09-01,40.6,TRANSPORT,Parking centrum
419,2024-09-03,47.5,JEDZENIE,Warzywnik
420,2024-09-03,277.59,ZDROWIE,Badania laboratoryjne
421,2024-09-03,161.87,ZAKUPY,Leroy Merlin
647,2024-09-03,1750.0,ZAKUPY,Nowy laptop – Lenovo ThinkPad
422,2024-09-05,68.45,JEDZENIE,Sushi Bar
423,2024-09-05,37.1,TRANSPORT,MPK bilet miesięczny
424,2024-09-05,81.59,ZDROWIE,Siłownia FitSport
425,2024-09-06,27.77,JEDZENIE,Piekarnia
426,2024-09-06,21.51,TRANSPORT,BP paliwo
427,2024-09-06,61.7,ROZRYWKA,Bowling
428,2024-09-07,132.46,JEDZENIE,Piekarnia
429,2024-09-07,27.42,ROZRYWKA,HBO Max
430,2024-09-08,14.91,TRANSPORT,Shell paliwo
431,2024-09-08,96.33,ZDROWIE,Fizjoterapeuta
432,2024-09-08,220.56,ZAKUPY,Zara
433,2024-09-09,24.83,JEDZENIE,McDonald's
434,2024-09-09,43.98,TRANSPORT,MPK bilet miesięczny
435,2024-09-10,48.56,JEDZENIE,Lidl
436,2024-09-11,78.92,JEDZENIE,Kaufland
437,2024-09-11,30.12,TRANSPORT,MPK bilet miesięczny
438,2024-09-11,124.24,ROZRYWKA,Steam
439,2024-09-11,149.36,ZAKUPY,Castorama
440,2024-09-12,73.81,JEDZENIE,Piekarnia
441,2024-09-12,48.76,TRANSPORT,Shell paliwo
442,2024-09-13,68.27,JEDZENIE,Burger King
443,2024-09-14,39.5,JEDZENIE,McDonald's
444,2024-09-15,57.06,JEDZENIE,McDonald's
445,2024-09-15,40.58,TRANSPORT,BlaBlacar
446,2024-09-15,42.84,ROZRYWKA,Kręgielnia
447,2024-09-15,122.68,ZAKUPY,CCC buty
448,2024-09-16,1.0,JEDZENIE,Carrefour
449,2024-09-16,121.06,ROZRYWKA,Teatr Miejski
450,2024-09-17,18.63,JEDZENIE,Netto
451,2024-09-17,22.68,TRANSPORT,BlaBlacar
452,2024-09-18,74.06,JEDZENIE,Sushi Bar
453,2024-09-18,64.2,TRANSPORT,Flixbus
454,2024-09-19,47.34,JEDZENIE,Kaufland
455,2024-09-19,139.86,ROZRYWKA,Pub Złoty Kielich
456,2024-09-20,51.13,JEDZENIE,Lidl
457,2024-09-20,15.03,TRANSPORT,BlaBlacar
458,2024-09-21,52.97,JEDZENIE,Netto
459,2024-09-21,280.28,RACHUNKI,Gaz PGNIG
460,2024-09-22,70.83,JEDZENIE,Carrefour
461,2024-09-22,41.42,TRANSPORT,BP paliwo
462,2024-09-23,25.36,JEDZENIE,Aldi
463,2024-09-23,69.37,ROZRYWKA,Cinema City
464,2024-09-24,65.03,JEDZENIE,Restauracja Stara Kamienica
465,2024-09-24,95.95,ZAKUPY,H&M
466,2024-09-25,62.48,ZDROWIE,Dentysta
467,2024-09-25,152.13,ZAKUPY,Zara
468,2024-09-26,9.53,JEDZENIE,Aldi
469,2024-09-26,59.67,ROZRYWKA,Steam
470,2024-09-27,79.56,JEDZENIE,McDonald's
471,2024-09-28,200.41,ZAKUPY,Reserved
472,2024-09-29,69.4,JEDZENIE,Kaufland
473,2024-09-29,68.94,ZAKUPY,Castorama
474,2024-09-30,15.93,TRANSPORT,Bolt
475,2024-10-01,52.8,JEDZENIE,Kaufland
476,2024-10-01,36.93,TRANSPORT,Shell paliwo
477,2024-10-02,70.5,JEDZENIE,Lidl
478,2024-10-02,51.51,ZDROWIE,Dentysta
479,2024-10-03,15.29,JEDZENIE,Aldi
480,2024-10-05,65.91,JEDZENIE,Netto
481,2024-10-06,65.94,JEDZENIE,Lidl
482,2024-10-06,32.71,ROZRYWKA,HBO Max
483,2024-10-07,61.9,JEDZENIE,Żabka
484,2024-10-08,66.83,JEDZENIE,Netto
485,2024-10-08,1.0,TRANSPORT,Flixbus
486,2024-10-10,27.78,JEDZENIE,Netto
487,2024-10-10,35.53,TRANSPORT,Shell paliwo
488,2024-10-11,103.15,JEDZENIE,Warzywnik
489,2024-10-13,89.94,JEDZENIE,Netto
490,2024-10-13,30.55,TRANSPORT,MPK bilet miesięczny
491,2024-10-14,45.98,JEDZENIE,Sushi Bar
492,2024-10-15,73.32,JEDZENIE,Lidl
493,2024-10-15,311.78,RACHUNKI,Abonament RTV
494,2024-10-15,102.39,ZDROWIE,Siłownia FitSport
495,2024-10-15,133.99,ZAKUPY,Castorama
